"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"597","RT @AMRITAedu: International Day of Yoga was celebrated at all our campuses. #YogaDay #YogaDay2019 #IDY2019 https://t.co/FR3ygdcCRv",FALSE,0,NA,2019-06-23 16:48:06,FALSE,NA,"1142836739909623808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ganesh_n14",3,TRUE,FALSE,NA,NA
"598","Our associate DAV Saguna,Patna in International yoga day https://t.co/xKNH44yvFr",FALSE,0,NA,2019-06-23 16:47:53,FALSE,NA,"1142836684507291650",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sketchpaintxprs",0,FALSE,FALSE,NA,NA
"599","RT @tsheringtobgay: With Tashi, celebrating International Day of Yoga with some simple asanas. Many thanks to @nwccbhutan and Yoga Guru KVS…",FALSE,0,NA,2019-06-23 16:47:38,FALSE,NA,"1142836622464913409",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shyamdotme",1665,TRUE,FALSE,NA,NA
"600","RT @PMBhutan: Prime Minister Dr Lotay Tshering leads the International Day of Yoga 2019 celebrations in Thimphu organised by @Indiainbhutan…",FALSE,0,NA,2019-06-23 16:47:19,FALSE,NA,"1142836545184919552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vineetjsharma",154,TRUE,FALSE,NA,NA
"601","RT @tsheringtobgay: With Tashi, celebrating International Day of Yoga with some simple asanas. Many thanks to @nwccbhutan and Yoga Guru KVS…",FALSE,0,NA,2019-06-23 16:47:08,FALSE,NA,"1142836498221293568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Text_to_Amit",1665,TRUE,FALSE,NA,NA
"602","RT @ITBP_official: Sh S S Deswal, DG ITBP at a Yoga Practice session with Himveers of ITBP on International Day of Yoga in Lukung, Laddakh…",FALSE,0,NA,2019-06-23 16:46:16,FALSE,NA,"1142836278666416128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Shamsher_IPS",20,TRUE,FALSE,NA,NA
"603","Our associate Kendriya Vidyalay,Khagaul,Patna on international Yoga day https://t.co/vbwnqs8nOQ",FALSE,0,NA,2019-06-23 16:46:15,FALSE,NA,"1142836276632203265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sketchpaintxprs",0,FALSE,FALSE,NA,NA
"604","To celebrate International Yoga Day this year, I decided to grab a a few girlfriends, our favorite natureswaybrands… https://t.co/VnDdqTuIDT",FALSE,0,NA,2019-06-23 16:46:14,TRUE,NA,"1142836272026857472",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","curvestocontour",0,FALSE,FALSE,NA,NA
"605","How to draw international Yoga day logo and poster https://t.co/1YayglanaH https://t.co/9BCXzs5Sae",FALSE,0,NA,2019-06-23 16:46:12,FALSE,NA,"1142836262031769600",NA,"<a href=""https://sortiwa.com/"" rel=""nofollow"">Sortiwa News</a>","Sortiwa",0,FALSE,FALSE,NA,NA
"606","RT @tsheringtobgay: With Tashi, celebrating International Day of Yoga with some simple asanas. Many thanks to @nwccbhutan and Yoga Guru KVS…",FALSE,0,NA,2019-06-23 16:45:36,FALSE,NA,"1142836111783411714",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aadityahbti",1665,TRUE,FALSE,NA,NA
